iter	Passed	Remaining
239	22860	72392
240	22959	72309
241	23060	72231
242	23155	72134
243	23255	72052
244	23347	71947
245	23450	71876
246	23563	71835
247	23675	71791
248	23766	71682
249	23856	71568
250	23947	71461
251	24036	71347
252	24131	71250
253	24218	71129
254	24309	71021
255	24404	70926
256	24497	70823
257	24613	70788
258	24706	70684
259	24802	70591
260	24902	70510
261	25004	70432
262	25108	70361
263	25203	70264
264	25292	70150
265	25375	70021
266	25451	69871
267	25545	69772
268	25635	69663
269	25723	69548
270	25801	69405
271	25880	69269
272	25960	69132
273	26037	68989
274	26118	68858
275	26203	68737
276	26281	68596
277	26356	68452
278	26433	68309
279	26518	68189
280	26599	68060
281	26697	67974
282	26806	67915
283	26903	67825
284	27008	67758
285	27113	67690
286	27208	67594
287	27298	67488
288	27387	67378
289	27482	67285
290	27592	67227
291	27682	67120
292	27765	66998
293	27848	66874
294	27930	66749
295	28005	66607
296	28094	66500
297	28182	66390
298	28265	66268
299	28344	66137
300	28422	66003
301	28496	65863
302	28582	65749
303	28657	65610
304	28732	65472
305	28809	65338
306	28887	65208
307	28957	65061
308	29035	64930
309	29110	64795
310	29190	64669
311	29268	64540
312	29353	64428
313	29427	64291
314	29510	64174
315	29593	64056
316	29670	63927
317	29753	63810
318	29837	63697
319	29920	63580
320	30006	63472
321	30086	63349
322	30178	63253
323	30269	63155
324	30351	63038
325	30426	62905
326	30516	62805
327	30593	62680
328	30669	62549
329	30753	62438
330	30839	62330
331	30917	62207
332	30992	62078
333	31071	61956
334	31149	61833
335	31228	61713
336	31384	61744
337	31470	61637
338	31556	61531
339	31636	61411
340	31711	61284
341	31790	61164
342	31869	61044
343	31950	60929
344	32030	60810
345	32105	60684
346	32188	60573
347	32275	60470
348	32359	60361
349	32444	60254
350	32529	60146
351	32616	60044
352	32699	59933
353	32793	59843
354	32919	59812
355	33020	59733
356	33130	59672
357	33261	59647
358	33379	59600
359	33491	59540
360	33587	59451
361	33699	59393
362	33839	59382
363	33950	59319
364	34042	59223
365	34146	59150
366	34260	59091
367	34361	59011
368	34456	58921
369	34547	58823
370	34628	58710
371	34717	58609
372	34816	58525
373	34910	58433
374	34995	58326
375	35081	58219
376	35176	58130
377	35260	58021
378	35349	57920
379	35430	57808
380	35516	57703
381	35595	57586
382	35680	57480
383	35763	57371
384	35837	57246
385	35917	57133
386	35996	57017
387	36077	56905
388	36162	56800
389	36252	56702
390	36340	56602
391	36415	56481
392	36505	56383
393	36581	56265
394	36656	56144
395	36733	56028
396	36812	55913
397	36887	55794
398	36969	55686
399	37046	55570
400	37126	55457
401	37212	55355
402	37290	55242
403	37375	55138
404	37474	55055
405	37558	54950
406	37648	54853
407	37736	54754
408	37822	54653
409	37914	54559
410	38000	54458
411	38081	54348
412	38179	54264
413	38259	54154
414	38341	54047
415	38417	53932
416	38495	53819
417	38578	53715
418	38657	53604
419	38737	53494
420	38819	53387
421	38899	53278
422	38974	53164
423	39049	53048
424	39131	52942
425	39210	52832
426	39283	52714
427	39366	52610
428	39443	52498
429	39518	52384
430	39597	52276
431	39680	52172
432	39762	52067
433	39842	51959
434	39928	51860
435	40013	51760
436	40100	51663
437	40201	51582
438	40293	51491
439	40379	51392
440	40465	51292
441	40550	51192
442	40627	51082
443	40702	50969
444	40778	50858
445	40856	50750
446	40931	50637
447	41005	50525
448	41083	50416
449	41165	50313
450	41242	50204
451	41320	50097
452	41395	49984
453	41474	49878
454	41560	49781
455	41638	49674
456	41724	49576
457	41829	49501
458	41924	49414
459	42005	49311
460	42086	49207
461	42173	49111
462	42255	49009
463	42328	48897
464	42413	48798
465	42496	48697
466	42585	48604
467	42673	48509
468	42767	48420
469	42854	48325
470	42939	48227
471	43023	48127
472	43103	48024
473	43182	47920
474	43263	47817
475	43337	47707
476	43415	47602
477	43499	47503
478	43576	47397
479	43651	47289
480	43738	47193
481	43820	47093
482	43900	46990
483	43979	46887
484	44054	46779
485	44212	46759
486	44304	46669
487	44383	46566
488	44471	46472
489	44555	46374
490	44630	46267
491	44707	46160
492	44788	46060
493	44870	45960
494	44944	45852
495	45023	45749
496	45116	45661
497	45211	45574
498	45293	45474
499	45380	45380
500	45470	45289
501	45554	45191
502	45630	45086
503	45708	44983
504	45786	44879
505	45863	44775
506	45942	44674
507	46018	44569
508	46105	44474
509	46183	44372
510	46264	44272
511	46345	44173
512	46423	44070
513	46504	43970
514	46583	43869
515	46660	43766
516	46734	43661
517	46816	43563
518	46889	43456
519	46968	43355
520	47045	43252
521	47135	43162
522	47212	43059
523	47295	42963
524	47371	42859
525	47448	42758
526	47529	42659
527	47611	42561
528	47692	42463
529	47775	42367
530	47859	42271
531	47945	42178
532	48023	42077
533	48105	41979
534	48182	41877
535	48258	41776
536	48337	41676
537	48411	41572
538	48492	41474
539	48566	41371
540	48641	41268
541	48715	41165
542	48792	41064
543	48871	40965
544	48952	40868
545	49026	40765
546	49104	40666
547	49184	40567
548	49266	40472
549	49359	40385
550	49441	40288
551	49521	40191
552	49597	40090
553	49672	39989
554	49752	39891
555	49836	39797
556	49927	39709
557	50014	39617
558	50107	39530
559	50201	39444
560	50290	39353
561	50385	39268
562	50476	39179
563	50568	39091
564	50645	38992
565	50728	38897
566	50808	38800
567	50900	38713
568	50984	38619
569	51065	38523
570	51146	38427
571	51234	38336
572	51315	38240
573	51408	38153
574	51496	38062
575	51582	37970
576	51666	37876
577	51756	37787
578	51852	37702
579	51953	37621
580	52057	37542
581	52163	37464
582	52274	37390
583	52373	37307
584	52487	37234
585	52586	37151
586	52686	37068
587	52780	36982
588	52870	36892
589	52974	36812
590	53066	36724
591	53162	36639
592	53284	36571
593	53383	36488
594	53481	36403
595	53573	36314
596	53663	36225
597	53746	36130
598	53833	36038
599	53921	35947
600	54008	35856
601	54101	35767
602	54183	35673
603	54280	35588
604	54368	35496
605	54464	35410
606	54548	35317
607	54641	35229
608	54753	35153
609	54845	35065
610	54936	34976
611	55024	34884
612	55121	34799
613	55209	34708
614	55306	34623
615	55417	34545
616	55510	34457
617	55607	34372
618	55709	34289
619	55807	34204
620	55904	34119
621	56002	34033
622	56107	33952
623	56205	33867
624	56374	33824
625	56471	33738
626	56564	33650
627	56649	33556
628	56735	33464
629	56825	33373
630	56909	33279
631	57002	33191
632	57102	33106
633	57193	33016
634	57282	32926
635	57369	32834
636	57458	32743
637	57545	32651
638	57639	32563
639	57729	32472
640	57811	32378
641	57900	32286
642	57982	32192
643	58069	32100
644	58164	32013
645	58266	31929
646	58378	31851
647	58479	31766
648	58579	31681
649	58682	31598
650	58790	31517
651	58892	31433
652	59041	31374
653	59162	31299
654	59260	31213
655	59443	31171
656	59557	31092
657	59658	31008
658	59755	30920
659	59856	30835
660	59960	30751
661	60065	30668
662	60163	30580
663	60262	30494
664	60362	30407
665	60457	30319
666	60563	30236
667	60692	30164
668	60821	30092
669	60940	30015
670	61050	29934
671	61157	29850
672	61264	29767
673	61380	29688
674	61487	29605
675	61633	29540
676	61757	29464
677	61852	29375
678	61953	29288
679	62054	29201
680	62167	29120
681	62276	29038
682	62360	28943
683	62457	28854
684	62551	28764
685	62646	28674
686	62739	28584
687	62827	28491
688	62917	28399
689	63011	28309
690	63102	28217
691	63187	28124
692	63277	28031
693	63368	27940
694	63458	27848
695	63550	27757
696	63648	27669
697	63746	27580
698	63839	27490
699	63930	27398
700	64036	27313
701	64135	27225
702	64234	27137
703	64333	27049
704	64432	26961
705	64588	26896
706	64690	26809
707	64782	26718
708	64875	26627
709	64970	26537
710	65059	26444
711	65153	26354
712	65245	26262
713	65358	26180
714	65483	26101
715	65575	26010
716	65668	25919
717	65768	25831
718	65853	25736
719	65943	25644
720	66031	25551
721	66121	25459
722	66207	25365
723	66316	25280
724	66417	25192
725	66516	25103
726	66610	25013
727	66718	24927
728	66832	24844
729	66966	24768
730	67071	24681
731	67164	24590
732	67260	24500
733	67345	24405
734	67437	24314
735	67533	24224
736	67625	24132
737	67725	24043
738	67808	23948
739	67900	23856
740	67986	23763
741	68081	23672
742	68173	23580
743	68261	23487
744	68348	23394
745	68525	23331
746	68610	23237
747	68692	23142
748	68779	23048
749	68874	22958
750	68973	22868
751	69120	22795
752	69245	22713
753	69347	22625
754	69440	22533
755	69529	22440
756	69627	22350
757	69758	22271
758	69885	22190
759	69989	22102
760	70086	22011
761	70201	21926
762	70304	21837
763	70407	21749
764	70502	21657
765	70594	21565
766	70684	21472
767	70777	21380
768	70867	21287
769	70952	21193
770	71044	21101
771	71132	21008
772	71224	20915
773	71311	20822
774	71408	20731
775	71499	20638
776	71589	20546
777	71691	20457
778	71781	20364
779	71879	20273
780	71981	20184
781	72072	20091
782	72162	19999
783	72249	19905
784	72335	19811
785	72424	19718
786	72508	19624
787	72593	19530
788	72678	19436
789	72768	19343
790	72857	19250
791	72938	19155
792	73029	19063
793	73119	18970
794	73205	18876
795	73296	18784
796	73390	18692
797	73483	18601
798	73567	18507
799	73652	18413
800	73737	18319
801	73822	18225
802	73911	18132
803	73997	18039
804	74082	17945
805	74181	17855
806	74279	17764
807	74375	17673
808	74471	17582
809	74564	17490
810	74656	17398
811	74750	17306
812	74840	17214
813	74927	17121
814	75017	17028
815	75115	16937
816	75209	16846
817	75286	16750
818	75375	16658
819	75467	16566
820	75559	16473
821	75641	16379
822	75729	16286
823	75821	16194
824	75907	16101
825	75994	16008
826	76088	15916
827	76174	15823
828	76256	15729
829	76342	15636
830	76427	15542
831	76516	15450
832	76604	15357
833	76680	15262
834	76775	15171
835	76866	15079
836	76958	14987
837	77051	14895
838	77154	14805
839	77242	14712
840	77339	14621
841	77425	14528
842	77506	14434
843	77591	14341
844	77671	14247
845	77765	14155
846	77861	14064
847	77961	13974
848	78042	13880
849	78125	13786
850	78222	13695
851	78319	13604
852	78419	13514
853	78510	13422
854	78596	13329
855	78681	13236
856	78757	13141
857	78849	13049
858	78938	12957
859	79028	12865
860	79113	12772
861	79197	12678
862	79286	12586
863	79383	12495
864	79477	12403
865	79565	12311
866	79655	12219
867	79750	12128
868	79841	12035
869	79928	11943
870	80017	11851
871	80099	11757
872	80178	11663
873	80265	11571
874	80349	11478
875	80439	11386
876	80524	11293
877	80607	11200
878	80690	11107
879	80855	11025
880	80948	10934
881	81037	10841
882	81122	10748
883	81211	10656
884	81304	10565
885	81392	10472
886	81471	10379
887	81561	10287
888	81643	10193
889	81731	10101
890	81816	10008
891	81921	9918
892	82020	9827
893	82109	9735
894	82214	9645
895	82318	9554
896	82428	9465
897	82532	9374
898	82622	9282
899	82709	9189
900	82791	9096
901	82881	9004
902	82985	8914
903	83085	8823
904	83174	8731
905	83268	8639
906	83360	8547
907	83445	8454
908	83535	8362
909	83631	8271
910	83718	8178
911	83806	8086
912	83892	7994
913	83982	7902
914	84068	7809
915	84164	7718
916	84251	7625
917	84336	7533
918	84424	7441
919	84514	7349
920	84607	7257
921	84719	7167
922	84829	7076
923	84923	6985
924	85021	6893
925	85121	6802
926	85214	6710
927	85313	6619
928	85401	6526
929	85490	6434
930	85578	6342
931	85663	6250
932	85747	6157
933	85827	6064
934	85918	5972
935	86005	5880
936	86087	5788
937	86193	5697
938	86307	5606
939	86418	5516
940	86515	5424
941	86597	5331
942	86679	5239
943	86760	5146
944	86847	5054
945	86945	4963
946	87033	4870
947	87117	4778
948	87206	4686
949	87303	4594
950	87404	4503
951	87498	4411
952	87587	4319
953	87679	4227
954	87771	4135
955	87854	4043
956	87941	3951
957	88033	3859
958	88124	3767
959	88210	3675
960	88296	3583
961	88381	3491
962	88465	3398
963	88549	3306
964	88633	3214
965	88715	3122
966	88797	3030
967	88880	2938
968	88961	2846
969	89047	2754
970	89146	2662
971	89232	2570
972	89318	2478
973	89397	2386
974	89475	2294
975	89558	2202
976	89641	2110
977	89722	2018
978	89810	1926
979	89910	1834
980	90000	1743
981	90105	1651
982	90199	1559
983	90287	1468
984	90370	1376
985	90448	1284
986	90533	1192
987	90614	1100
988	90693	1008
989	90777	916
990	90861	825
991	90941	733
992	91029	641
993	91126	550
994	91233	458
995	91311	366
996	91401	275
997	91491	183
998	91578	91
999	91659	0
